date,headline_inflation_yoy,food_inflation_yoy
2018-08-27,15.1,16.2
2018-09-03,15.1,16.2
2018-09-10,15.1,16.2
2018-09-17,15.1,16.2
2018-09-24,15.1,16.2
2018-10-01,11.3,11.8
2018-10-08,11.3,11.8
2018-10-15,11.3,11.8
2018-10-22,11.3,11.8
2018-10-29,11.3,11.8
2018-11-05,11.3,11.8
2018-11-12,11.3,11.8
2018-11-19,11.3,11.8
2018-11-26,11.3,11.8
2018-12-03,11.3,11.8
2018-12-10,11.3,11.8
2018-12-17,11.3,11.8
2018-12-24,11.3,11.8
2018-12-31,11.3,11.8
2019-01-07,11.3,11.8
2019-01-14,11.3,11.8
2019-01-21,11.3,11.8
2019-01-28,11.3,11.8
2019-02-04,11.3,11.8
2019-02-11,11.3,11.8
2019-02-18,11.3,11.8
2019-02-25,11.3,11.8
2019-03-04,11.3,11.8
2019-03-11,11.3,11.8
2019-03-18,11.3,11.8
2019-03-25,11.3,11.8
2019-04-01,11.4,12.0
2019-04-08,11.4,12.0
2019-04-15,11.4,12.0
2019-04-22,11.4,12.0
2019-04-29,11.4,12.0
2019-05-06,11.4,12.0
2019-05-13,11.4,12.0
2019-05-20,11.4,12.0
2019-05-27,11.4,12.0
2019-06-03,11.4,12.0
2019-06-10,11.4,12.0
2019-06-17,11.4,12.0
2019-06-24,11.4,12.0
2019-07-01,11.1,11.6
2019-07-08,11.1,11.6
2019-07-15,11.1,11.6
2019-07-22,11.1,11.6
2019-07-29,11.1,11.6
2019-08-05,11.1,11.6
2019-08-12,11.1,11.6
2019-08-19,11.1,11.6
2019-08-26,11.1,11.6
2019-09-02,11.1,11.6
2019-09-09,11.1,11.6
2019-09-16,11.1,11.6
2019-09-23,11.1,11.6
2019-09-30,11.1,11.6
2019-10-07,11.1,11.6
2019-10-14,11.1,11.6
2019-10-21,11.1,11.6
2019-10-28,11.1,11.6
2019-11-04,11.1,11.6
2019-11-11,11.1,11.6
2019-11-18,11.1,11.6
2019-11-25,11.1,11.6
2019-12-02,11.1,11.6
2019-12-09,11.1,11.6
2019-12-16,11.1,11.6
2019-12-23,11.1,11.6
2019-12-30,11.1,11.6
2020-01-06,11.1,11.6
2020-01-13,11.1,11.6
2020-01-20,11.1,11.6
2020-01-27,11.1,11.6
2020-02-03,11.1,11.6
2020-02-10,11.1,11.6
2020-02-17,11.1,11.6
2020-02-24,11.1,11.6
2020-03-02,11.1,11.6
2020-03-09,11.1,11.6
2020-03-16,11.1,11.6
2020-03-23,11.1,11.6
2020-03-30,11.1,11.6
2020-04-06,11.1,11.6
2020-04-13,11.1,11.6
2020-04-20,11.1,11.6
2020-04-27,11.1,11.6
2020-05-04,11.1,11.6
2020-05-11,11.1,11.6
2020-05-18,11.1,11.6
2020-05-25,11.1,11.6
2020-06-01,12.6,13.5
2020-06-08,12.6,13.5
2020-06-15,12.6,13.5
2020-06-22,12.6,13.5
2020-06-29,12.6,13.5
2020-07-06,12.6,13.5
2020-07-13,12.6,13.5
2020-07-20,12.6,13.5
2020-07-27,12.6,13.5
2020-08-03,12.6,13.5
2020-08-10,12.6,13.5
2020-08-17,12.6,13.5
2020-08-24,12.6,13.5
2020-08-31,12.6,13.5
2020-09-07,12.6,13.5
2020-09-14,12.6,13.5
2020-09-21,12.6,13.5
2020-09-28,12.6,13.5
2020-10-05,12.6,13.5
2020-10-12,12.6,13.5
2020-10-19,12.6,13.5
2020-10-26,12.6,13.5
2020-11-02,12.6,13.5
2020-11-09,12.6,13.5
2020-11-16,12.6,13.5
2020-11-23,12.6,13.5
2020-11-30,12.6,13.5
2020-12-07,12.6,13.5
2020-12-14,12.6,13.5
2020-12-21,12.6,13.5
2020-12-28,12.6,13.5
2021-01-04,12.6,13.5
2021-01-11,12.6,13.5
2021-01-18,12.6,13.5
2021-01-25,12.6,13.5
2021-02-01,17.3,20.1
2021-02-08,17.3,20.1
2021-02-15,17.3,20.1
2021-02-22,17.3,20.1
2021-03-01,18.2,22.9
2021-03-08,18.2,22.9
2021-03-15,18.2,22.9
2021-03-22,18.2,22.9
2021-03-29,18.2,22.9
2021-04-05,18.2,22.9
2021-04-12,18.2,22.9
2021-04-19,18.2,22.9
2021-04-26,18.2,22.9
2021-05-03,18.2,22.9
2021-05-10,18.2,22.9
2021-05-17,18.2,22.9
2021-05-24,18.2,22.9
2021-05-31,18.2,22.9
2021-06-07,18.2,22.9
2021-06-14,18.2,22.9
2021-06-21,18.2,22.9
2021-06-28,18.2,22.9
2021-07-05,18.2,22.9
2021-07-12,18.2,22.9
2021-07-19,18.2,22.9
2021-07-26,18.2,22.9
2021-08-02,18.2,22.9
2021-08-09,18.2,22.9
2021-08-16,18.2,22.9
2021-08-23,18.2,22.9
2021-08-30,18.2,22.9
2021-09-06,18.2,22.9
2021-09-13,18.2,22.9
2021-09-20,18.2,22.9
2021-09-27,18.2,22.9
2021-10-04,18.2,22.9
2021-10-11,18.2,22.9
2021-10-18,18.2,22.9
2021-10-25,18.2,22.9
2021-11-01,15.4,18.1
2021-11-08,15.4,18.1
2021-11-15,15.4,18.1
2021-11-22,15.4,18.1
2021-11-29,15.4,18.1
2021-12-06,15.4,18.1
2021-12-13,15.4,18.1
2021-12-20,15.4,18.1
2021-12-27,15.4,18.1
2022-01-03,15.4,18.1
2022-01-10,15.4,18.1
2022-01-17,15.4,18.1
2022-01-24,15.4,18.1
2022-01-31,15.4,18.1
2022-02-07,15.4,18.1
2022-02-14,15.4,18.1
2022-02-21,15.4,18.1
2022-02-28,15.4,18.1
2022-03-07,15.4,18.1
2022-03-14,15.4,18.1
2022-03-21,15.4,18.1
2022-03-28,15.4,18.1
2022-04-04,15.4,18.1
2022-04-11,15.4,18.1
2022-04-18,15.4,18.1
2022-04-25,15.4,18.1
2022-05-02,15.4,18.1
2022-05-09,15.4,18.1
2022-05-16,15.4,18.1
2022-05-23,15.4,18.1
2022-05-30,15.4,18.1
2022-06-06,15.4,18.1
2022-06-13,15.4,18.1
2022-06-20,15.4,18.1
2022-06-27,15.4,18.1
2022-07-04,15.4,18.1
2022-07-11,15.4,18.1
2022-07-18,15.4,18.1
2022-07-25,15.4,18.1
2022-08-01,20.5,25.7
2022-08-08,20.5,25.7
2022-08-15,20.5,25.7
2022-08-22,20.5,25.7
2022-08-29,20.5,25.7
2022-09-05,20.5,25.7
2022-09-12,20.5,25.7
2022-09-19,20.5,25.7
2022-09-26,20.5,25.7
2022-10-03,20.5,25.7
2022-10-10,20.5,25.7
2022-10-17,20.5,25.7
2022-10-24,20.5,25.7
2022-10-31,20.5,25.7
2022-11-07,20.5,25.7
2022-11-14,20.5,25.7
2022-11-21,20.5,25.7
2022-11-28,20.5,25.7
2022-12-05,20.5,25.7
2022-12-12,20.5,25.7
2022-12-19,20.5,25.7
2022-12-26,20.5,25.7
2023-01-02,20.5,25.7
2023-01-09,20.5,25.7
2023-01-16,20.5,25.7
2023-01-23,20.5,25.7
2023-01-30,20.5,25.7
2023-02-06,20.5,25.7
2023-02-13,20.5,25.7
2023-02-20,20.5,25.7
2023-02-27,20.5,25.7
2023-03-06,20.5,25.7
2023-03-13,20.5,25.7
2023-03-20,20.5,25.7
2023-03-27,20.5,25.7
2023-04-03,20.5,25.7
2023-04-10,20.5,25.7
2023-04-17,20.5,25.7
2023-04-24,20.5,25.7
2023-05-01,22.4,28.8
2023-05-08,22.4,28.8
2023-05-15,22.4,28.8
2023-05-22,22.4,28.8
2023-05-29,22.4,28.8
2023-06-05,22.4,28.8
2023-06-12,22.4,28.8
2023-06-19,22.4,28.8
2023-06-26,22.4,28.8
2023-07-03,22.4,28.8
2023-07-10,22.4,28.8
2023-07-17,22.4,28.8
2023-07-24,22.4,28.8
2023-07-31,22.4,28.8
2023-08-07,22.4,28.8
2023-08-14,22.4,28.8
2023-08-21,22.4,28.8
2023-08-28,22.4,28.8
2023-09-04,22.4,28.8
2023-09-11,22.4,28.8
2023-09-18,22.4,28.8
2023-09-25,22.4,28.8
2023-10-02,22.4,28.8
2023-10-09,22.4,28.8
2023-10-16,22.4,28.8
2023-10-23,22.4,28.8
2023-10-30,22.4,28.8
2023-11-06,22.4,28.8
2023-11-13,22.4,28.8
2023-11-20,22.4,28.8
2023-11-27,22.4,28.8
2023-12-04,22.4,28.8
2023-12-11,22.4,28.8
2023-12-18,22.4,28.8
2023-12-25,22.4,28.8
2024-01-01,29.9,37.9
2024-01-08,29.9,37.9
2024-01-15,29.9,37.9
2024-01-22,29.9,37.9
2024-01-29,29.9,37.9
2024-02-05,29.9,37.9
2024-02-12,29.9,37.9
2024-02-19,29.9,37.9
2024-02-26,29.9,37.9
2024-03-04,29.9,37.9
2024-03-11,29.9,37.9
2024-03-18,29.9,37.9
2024-03-25,29.9,37.9
2024-04-01,33.7,40.5
2024-04-08,33.7,40.5
2024-04-15,33.7,40.5
2024-04-22,33.7,40.5
2024-04-29,33.7,40.5
2024-05-06,33.7,40.5
2024-05-13,33.7,40.5
2024-05-20,33.7,40.5
2024-05-27,33.7,40.5
2024-06-03,33.7,40.5
2024-06-10,33.7,40.5
2024-06-17,33.7,40.5
2024-06-24,33.7,40.5
2024-07-01,33.4,39.5
2024-07-08,33.4,39.5
2024-07-15,33.4,39.5
2024-07-22,33.4,39.5
2024-07-29,33.4,39.5
2024-08-05,33.4,39.5
2024-08-12,33.4,39.5
2024-08-19,33.4,39.5
2024-08-26,33.4,39.5
2024-09-02,33.4,39.5
2024-09-09,33.4,39.5
2024-09-16,33.4,39.5
2024-09-23,33.4,39.5
2024-09-30,33.4,39.5
2024-10-07,33.4,39.5
2024-10-14,33.4,39.5
2024-10-21,33.4,39.5
2024-10-28,33.4,39.5
2024-11-04,33.4,39.5
2024-11-11,33.4,39.5
2024-11-18,33.4,39.5
2024-11-25,33.4,39.5
2024-12-02,33.4,39.5
2024-12-09,33.4,39.5
2024-12-16,33.4,39.5
2024-12-23,33.4,39.5
2024-12-30,33.4,39.5
2025-01-06,33.4,39.5
2025-01-13,33.4,39.5
2025-01-20,33.4,39.5
2025-01-27,33.4,39.5
2025-02-03,33.4,39.5
2025-02-10,33.4,39.5
2025-02-17,33.4,39.5
2025-02-24,33.4,39.5
2025-03-03,33.4,39.5
2025-03-10,33.4,39.5
2025-03-17,33.4,39.5
2025-03-24,33.4,39.5
2025-03-31,33.4,39.5
2025-04-07,33.4,39.5
2025-04-14,33.4,39.5
2025-04-21,33.4,39.5
2025-04-28,33.4,39.5
2025-05-05,33.4,39.5
2025-05-12,33.4,39.5
2025-05-19,33.4,39.5
2025-05-26,33.4,39.5
2025-06-02,33.4,39.5
2025-06-09,33.4,39.5
2025-06-16,33.4,39.5
2025-06-23,33.4,39.5
2025-06-30,33.4,39.5
2025-07-07,33.4,39.5
2025-07-14,33.4,39.5
2025-07-21,33.4,39.5
2025-07-28,33.4,39.5
2025-08-04,33.4,39.5
2025-08-11,33.4,39.5
2025-08-18,33.4,39.5
2025-08-25,33.4,39.5
2025-09-01,23.9,25.8
2025-09-08,23.9,25.8
2025-09-15,23.9,25.8
2025-09-22,23.9,25.8
2025-09-29,23.9,25.8
2025-10-06,23.9,25.8
2025-10-13,23.9,25.8
2025-10-20,23.9,25.8
2025-10-27,23.9,25.8
2025-11-03,23.9,25.8
2025-11-10,23.9,25.8
2025-11-17,23.9,25.8
2025-11-24,23.9,25.8
2025-12-01,24.2,26.1
2025-12-08,24.2,26.1
2025-12-15,24.2,26.1
2025-12-22,24.2,26.1
2025-12-29,24.2,26.1
2026-01-05,24.2,26.1
2026-01-12,24.2,26.1
2026-01-19,24.2,26.1
2026-01-26,24.2,26.1
2026-02-02,24.2,26.1
2026-02-09,24.2,26.1
2026-02-16,24.2,26.1
2026-02-23,24.2,26.1
2026-03-02,24.2,26.1
2026-03-09,24.2,26.1
2026-03-16,24.2,26.1
2026-03-23,24.2,26.1
2026-03-30,24.2,26.1
2026-04-06,24.2,26.1
2026-04-13,25.8,27.8
2026-04-20,25.8,27.8
2026-04-27,25.8,27.8
2026-05-04,26.0,28.0
2026-05-11,26.0,28.0
2026-05-18,26.0,28.0
2026-05-25,26.0,28.0
2026-06-01,26.2,28.2
2026-06-08,26.2,28.2
2026-06-15,26.2,28.2
2026-06-22,26.2,28.2
2026-06-29,26.2,28.2
2026-07-06,26.3,28.3
2026-07-13,26.3,28.3
2026-07-20,26.3,28.3
2026-07-27,26.3,28.3
2026-08-03,26.2,28.2
2026-08-10,26.2,28.2
2026-08-17,26.2,28.2
2026-08-24,26.2,28.2
2026-08-31,26.2,28.2
2026-09-07,26.0,28.0
2026-09-14,26.0,28.0
2026-09-21,26.0,28.0
2026-09-28,26.0,28.0
2026-10-05,25.8,27.8
2026-10-12,25.8,27.8
