zone,state,commodity,price_factor,is_primary_product,zone_default
South East,Imo,Beans (red),1.13,False,1.13
South East,Imo,Maize (white),1.17,True,1.13
South East,Imo,Maize (yellow),1.17,False,1.13
South East,Imo,Wheat,1.16,False,1.13
South South,Rivers,Hibiscus,1.12,True,1.14
South South,Rivers,Sesame,1.18,True,1.14
South South,Rivers,Ginger,1.2,False,1.14
South South,Rivers,Cocoa,1.05,True,1.14
South South,Rivers,Soybeans,1.18,False,1.14
South South,Rivers,Cashew Nuts,1.15,False,1.14
South South,Rivers,Sorghum,1.2,False,1.14
South South,Rivers,Beans (white),1.22,True,1.14
South South,Rivers,Beans (red),1.2,True,1.14
South South,Rivers,Maize (white),1.25,True,1.14
South South,Rivers,Maize (yellow),1.25,False,1.14
South South,Rivers,Wheat,1.22,False,1.14
South South,Delta,Hibiscus,1.08,True,1.14
South South,Delta,Sesame,1.16,True,1.14
South South,Delta,Ginger,1.15,False,1.14
South South,Delta,Cocoa,0.93,True,1.14
South South,Delta,Soybeans,1.14,True,1.14
South South,Delta,Cashew Nuts,1.1,False,1.14
South South,Delta,Sorghum,1.18,False,1.14
South South,Delta,Beans (white),1.17,True,1.14
South South,Delta,Beans (red),1.15,False,1.14
South South,Delta,Maize (white),1.2,True,1.14
South South,Delta,Maize (yellow),1.2,False,1.14
South South,Delta,Wheat,1.2,False,1.14
North West,Kano,Rice,0.95,False,0.87
North West,Kaduna,Rice,0.93,True,0.87
North Central,Plateau,Rice,0.9,True,0.95
North Central,Kogi,Rice,0.97,False,0.95
North East,Adamawa,Rice,1.02,False,1.02
North East,Borno,Rice,1.1,False,1.02
South West,Oyo,Rice,1.08,False,1.16
South West,Lagos,Rice,1.18,False,1.16
South East,Anambra,Rice,1.12,False,1.13
South East,Imo,Rice,1.1,False,1.13
South South,Rivers,Rice,1.15,False,1.14
South South,Delta,Rice,1.12,False,1.14
